category,location_name,coordinate_id,x,y,z,coordinates,source_url
All Other Locations,Sea Traveler,1,140.0,150.0,2030.0,"140.0, 150.0, 2030.0",https://fischipedia.org/wiki/Sea_Traveler
All Other Locations,Sea Traveler,2,690.0,170.0,345.0,"690.0, 170.0, 345.0",https://fischipedia.org/wiki/Sea_Traveler
All Other Locations,Terrapin Island,1,-200.0,130.0,1925.0,"-200.0, 130.0, 1925.0",https://fischipedia.org/wiki/Terrapin_Island
All Other Locations,Terrapin Island,2,10.0,155.0,2000.0,"10.0, 155.0, 2000.0",https://fischipedia.org/wiki/Terrapin_Island
All Other Locations,Terrapin Island,3,160.0,125.0,1970.0,"160.0, 125.0, 1970.0",https://fischipedia.org/wiki/Terrapin_Island
All Other Locations,Terrapin Island,4,25.0,140.0,1860.0,"25.0, 140.0, 1860.0",https://fischipedia.org/wiki/Terrapin_Island
All Other Locations,Terrapin Island,5,140.0,150.0,2050.0,"140.0, 150.0, 2050.0",https://fischipedia.org/wiki/Terrapin_Island
All Other Locations,Terrapin Island,6,-200.0,130.0,1930.0,"-200.0, 130.0, 1930.0",https://fischipedia.org/wiki/Terrapin_Island
All Other Locations,Terrapin Island,7,-175.0,145.0,1935.0,"-175.0, 145.0, 1935.0",https://fischipedia.org/wiki/Terrapin_Island
All Other Locations,Terrapin Island,8,35.0,130.0,1945.0,"35.0, 130.0, 1945.0",https://fischipedia.org/wiki/Terrapin_Island
All Other Locations,Moosewood,1,350.0,135.0,250.0,"350.0, 135.0, 250.0",https://fischipedia.org/wiki/Moosewood
All Other Locations,Moosewood,2,412.0,135.0,233.0,"412.0, 135.0, 233.0",https://fischipedia.org/wiki/Moosewood
All Other Locations,Moosewood,3,385.0,135.0,280.0,"385.0, 135.0, 280.0",https://fischipedia.org/wiki/Moosewood
All Other Locations,Moosewood,4,480.0,150.0,295.0,"480.0, 150.0, 295.0",https://fischipedia.org/wiki/Moosewood
All Other Locations,Moosewood,5,465.0,150.0,235.0,"465.0, 150.0, 235.0",https://fischipedia.org/wiki/Moosewood
All Other Locations,Moosewood,6,480.0,180.0,150.0,"480.0, 180.0, 150.0",https://fischipedia.org/wiki/Moosewood
All Other Locations,Moosewood,7,515.0,150.0,285.0,"515.0, 150.0, 285.0",https://fischipedia.org/wiki/Moosewood
All Other Locations,Moosewood,8,365.0,135.0,275.0,"365.0, 135.0, 275.0",https://fischipedia.org/wiki/Moosewood
All Other Locations,Moosewood,9,370.0,135.0,250.0,"370.0, 135.0, 250.0",https://fischipedia.org/wiki/Moosewood
All Other Locations,Moosewood,10,315.0,135.0,335.0,"315.0, 135.0, 335.0",https://fischipedia.org/wiki/Moosewood
All Other Locations,Moosewood,11,705.0,137.0,341.0,"705.0, 137.0, 341.0",https://fischipedia.org/wiki/Moosewood
All Other Locations,Moosewood,12,-1878.0,167.0,548.0,"-1878.0, 167.0, 548.0",https://fischipedia.org/wiki/Moosewood
All Other Locations,Cthulhu Boss,1,-200.0,130.0,1925.0,"-200.0, 130.0, 1925.0",https://fischipedia.org/wiki/Cthulhu_Boss
All Other Locations,Cthulhu Boss,2,10.0,155.0,2000.0,"10.0, 155.0, 2000.0",https://fischipedia.org/wiki/Cthulhu_Boss
All Other Locations,Cthulhu Boss,3,160.0,125.0,1970.0,"160.0, 125.0, 1970.0",https://fischipedia.org/wiki/Cthulhu_Boss
All Other Locations,Cthulhu Boss,4,25.0,140.0,1860.0,"25.0, 140.0, 1860.0",https://fischipedia.org/wiki/Cthulhu_Boss
All Other Locations,Cthulhu Boss,5,140.0,150.0,2050.0,"140.0, 150.0, 2050.0",https://fischipedia.org/wiki/Cthulhu_Boss
All Other Locations,Cthulhu Boss,6,-200.0,130.0,1930.0,"-200.0, 130.0, 1930.0",https://fischipedia.org/wiki/Cthulhu_Boss
All Other Locations,Cthulhu Boss,7,-175.0,145.0,1935.0,"-175.0, 145.0, 1935.0",https://fischipedia.org/wiki/Cthulhu_Boss
All Other Locations,Cthulhu Boss,8,35.0,130.0,1945.0,"35.0, 130.0, 1945.0",https://fischipedia.org/wiki/Cthulhu_Boss
All Other Locations,Crystal Cove,1,1364.0,-612.0,2472.0,"1364.0, -612.0, 2472.0",https://fischipedia.org/wiki/Crystal_Cove
All Other Locations,Crystal Cove,2,1302.0,-701.0,1604.0,"1302.0, -701.0, 1604.0",https://fischipedia.org/wiki/Crystal_Cove
All Other Locations,Crystal Cove,3,1350.0,-604.0,2329.0,"1350.0, -604.0, 2329.0",https://fischipedia.org/wiki/Crystal_Cove
All Other Locations,Castaway Cliffs,1,690.0,135.0,-1693.0,"690.0, 135.0, -1693.0",https://fischipedia.org/wiki/Castaway_Cliffs
All Other Locations,Castaway Cliffs,2,255.0,800.0,-6865.0,"255.0, 800.0, -6865.0",https://fischipedia.org/wiki/Castaway_Cliffs
All Other Locations,Castaway Cliffs,3,560.0,310.0,-2070.0,"560.0, 310.0, -2070.0",https://fischipedia.org/wiki/Castaway_Cliffs
All Other Locations,Gilded Arch,1,450.0,90.0,2850.0,"450.0, 90.0, 2850.0",https://fischipedia.org/wiki/Gilded_Arch
